model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,PJME_to_PJMD,2045,base_52_week,MW,5090.818364853789,5090.818364888935
SWITCH,MISE_to_MISC,2045,base_52_week,MW,2289.9716259538877,2289.9716260619293
SWITCH,MISE_to_PJMW,2045,base_52_week,MW,2662.0000020239268,2662.000002050241
SWITCH,MISE_to_MISW,2045,base_52_week,MW,800.0709158810108,800.070915897131
SWITCH,ISNE_to_NYUP,2045,base_52_week,MW,10637.691001938112,10637.691004030396
SWITCH,ISNE_to_NYCW,2045,base_52_week,MW,760.0000001579842,760.0000004968568
SWITCH,MISC_to_SPPC,2045,base_52_week,MW,8612.289837498063,9953.464559094578
SWITCH,MISC_to_PJMW,2045,base_52_week,MW,6996.0437911109,8873.444123216163
SWITCH,MISC_to_SRCE,2045,base_52_week,MW,3745.000001038062,3745.000001059677
SWITCH,MISC_to_SPPS,2045,base_52_week,MW,5007.826318623585,5697.23743449862
SWITCH,MISC_to_MISS,2045,base_52_week,MW,1039.0000099949848,1039.0000101079745
SWITCH,MISC_to_SPPN,2045,base_52_week,MW,1885.5171195488667,1897.3652564051868
SWITCH,MISC_to_MISW,2045,base_52_week,MW,1655.000000627785,1655.000000673616
SWITCH,CANO_to_BASN,2045,base_52_week,MW,100.00000059969476,100.00000060118558
SWITCH,CANO_to_CASO,2045,base_52_week,MW,3675.0000161234425,3675.000018632511
SWITCH,CANO_to_NWPP,2045,base_52_week,MW,3675.000000424963,3675.000000515888
SWITCH,TREW_to_TRE,2045,base_52_week,MW,16529.00000098727,16529.000001337907
SWITCH,TREW_to_SPPS,2045,base_52_week,MW,6899.083097398066,6899.083102089997
SWITCH,SPPC_to_SPPS,2045,base_52_week,MW,4272.747739129452,5014.649386953319
SWITCH,SPPC_to_MISS,2045,base_52_week,MW,3014.558488257599,3014.5584885690546
SWITCH,SPPC_to_SPPN,2045,base_52_week,MW,2939.434765631278,2939.43476578726
SWITCH,SPPC_to_MISW,2045,base_52_week,MW,0.0002275479859801,0.0007372684148892
SWITCH,FRCC_to_SRSE,2045,base_52_week,MW,3600.000005023412,3600.000005083678
SWITCH,TRE_to_SPPS,2045,base_52_week,MW,8242.533435465017,8783.267675628653
SWITCH,SRCA_to_PJMW,2045,base_52_week,MW,1219.0000027196186,1219.00000311148
SWITCH,SRCA_to_SRCE,2045,base_52_week,MW,216.00000104965733,216.00000107977735
SWITCH,SRCA_to_PJMD,2045,base_52_week,MW,1935.3331104896852,3561.0128791457573
SWITCH,SRCA_to_SRSE,2045,base_52_week,MW,1400.00000091667,1400.0000009734365
SWITCH,NYUP_to_NYCW,2045,base_52_week,MW,4388.94821128887,4388.948211297292
SWITCH,PJMW_to_SRCE,2045,base_52_week,MW,3333.0000010181234,3909.793003822451
SWITCH,PJMW_to_PJMD,2045,base_52_week,MW,6930.000001202895,6930.000001249212
SWITCH,BASN_to_RMRG,2045,base_52_week,MW,3750.0000354544895,5649.840853072352
SWITCH,BASN_to_CASO,2045,base_52_week,MW,5920.0000471688645,5920.000047250409
SWITCH,BASN_to_NWPP,2045,base_52_week,MW,3350.0000024768906,3350.000002589928
SWITCH,BASN_to_SRSG,2045,base_52_week,MW,5385.000002817821,5385.000005339109
SWITCH,SRCE_to_MISS,2045,base_52_week,MW,4092.00000127964,4092.00000132432
SWITCH,SRCE_to_SRSE,2045,base_52_week,MW,3196.0000001848503,3196.0000002093657
SWITCH,SPPS_to_MISS,2045,base_52_week,MW,21981.21537905961,22942.958395928767
SWITCH,SPPS_to_SRSG,2045,base_52_week,MW,12137.35109325742,14671.392020127943
SWITCH,SPPS_to_SPPN,2045,base_52_week,MW,5839.942190510277,6265.440080711507
SWITCH,RMRG_to_NWPP,2045,base_52_week,MW,5043.869313102558,6389.234009825574
SWITCH,RMRG_to_SRSG,2045,base_52_week,MW,2405.549839382822,2651.2305567176554
SWITCH,MISS_to_SRSE,2045,base_52_week,MW,7936.411656579666,7936.411658136649
SWITCH,CASO_to_NWPP,2045,base_52_week,MW,2858.00000142824,2858.00000144387
SWITCH,CASO_to_SRSG,2045,base_52_week,MW,10291.906046458767,11030.941395559814
SWITCH,SPPN_to_MISW,2045,base_52_week,MW,5512.000013953773,5512.000016678115
SWITCH,NWPP_to_SPPN,2045,base_52_week,MW,1552.4049972258497,1779.9233475248132
SWITCH,NWPP_to_MISW,2045,base_52_week,MW,200.0000005251651,200.00000052693755
SWITCH,RMRG_to_SPPN,2045,base_52_week,MW,4805.021479081901,5629.059980650209
SWITCH,RMRG_to_SPPC,2045,base_52_week,MW,8737.607462967662,10251.581197627816
SWITCH,SRSG_to_TRE,2045,base_52_week,MW,3252.0871223699423,4677.488967775703
SWITCH,PJMC_to_MISC,2050,base_52_week,MW,5244.000001389526,5244.000002402447
SWITCH,PJMC_to_PJMW,2050,base_52_week,MW,11392.03009392963,11392.030094495514
SWITCH,PJMC_to_MISW,2050,base_52_week,MW,11662.49998925149,11662.499990361555
SWITCH,PJME_to_NYUP,2050,base_52_week,MW,10269.772248565998,10269.7722486174
SWITCH,PJME_to_PJMW,2050,base_52_week,MW,45730.37790946772,45981.45987662165
SWITCH,PJME_to_NYCW,2050,base_52_week,MW,12059.356094321218,12271.94947208133
SWITCH,PJME_to_PJMD,2050,base_52_week,MW,5090.818364888935,5090.818365577883
SWITCH,MISE_to_MISC,2050,base_52_week,MW,2289.97162606193,2425.341422414251
SWITCH,MISE_to_PJMW,2050,base_52_week,MW,2662.000002050241,2662.0000077772397
SWITCH,MISE_to_MISW,2050,base_52_week,MW,800.070915897131,800.0709158997593
SWITCH,ISNE_to_NYUP,2050,base_52_week,MW,10637.691004030396,10637.691004218012
SWITCH,ISNE_to_NYCW,2050,base_52_week,MW,760.0000004968568,760.0000005805185
SWITCH,MISC_to_SPPC,2050,base_52_week,MW,9953.464559094578,10349.065128938357
SWITCH,MISC_to_PJMW,2050,base_52_week,MW,8873.44412321616,9214.558882540405
SWITCH,MISC_to_SRCE,2050,base_52_week,MW,3745.000001059677,3745.000001276456
SWITCH,MISC_to_SPPS,2050,base_52_week,MW,5697.23743449862,5844.983576185157
SWITCH,MISC_to_MISS,2050,base_52_week,MW,1039.0000101079745,1039.0000101621415
SWITCH,MISC_to_SPPN,2050,base_52_week,MW,1897.3652564051868,1989.5389890566717
SWITCH,MISC_to_MISW,2050,base_52_week,MW,1655.000000673616,1655.00000087004
SWITCH,CANO_to_BASN,2050,base_52_week,MW,100.00000060118558,100.00000123817988
SWITCH,CANO_to_CASO,2050,base_52_week,MW,3675.000018632511,3675.0000188681583
SWITCH,CANO_to_NWPP,2050,base_52_week,MW,3675.000000515888,3820.760078003073
