model,line_name,planning_year,case,unit,value
SWITCH,PJME_to_PJMW,2045,base_52_week,MW,6505.776849192196
SWITCH,PJME_to_NYCW,2045,base_52_week,MW,1081.4496539960674
SWITCH,PJME_to_PJMD,2045,base_52_week,MW,3.514651325531304e-08
SWITCH,MISE_to_MISC,2045,base_52_week,MW,1.0804160410771146e-07
SWITCH,MISE_to_PJMW,2045,base_52_week,MW,2.6314410206396133e-08
SWITCH,MISE_to_MISW,2045,base_52_week,MW,1.6120225154736545e-08
SWITCH,ISNE_to_NYUP,2045,base_52_week,MW,2.0922834664816037e-06
SWITCH,ISNE_to_NYCW,2045,base_52_week,MW,3.388726099728956e-07
SWITCH,MISC_to_SPPC,2045,base_52_week,MW,1341.1747215965152
SWITCH,MISC_to_PJMW,2045,base_52_week,MW,1877.4003321052624
SWITCH,MISC_to_SRCE,2045,base_52_week,MW,2.1615051082335413e-08
SWITCH,MISC_to_SPPS,2045,base_52_week,MW,689.4111158750347
SWITCH,MISC_to_MISS,2045,base_52_week,MW,1.1298971003270708e-07
SWITCH,MISC_to_SPPN,2045,base_52_week,MW,11.848136856320025
SWITCH,MISC_to_MISW,2045,base_52_week,MW,4.583080226439051e-08
SWITCH,CANO_to_BASN,2045,base_52_week,MW,1.4908181356076966e-09
SWITCH,CANO_to_CASO,2045,base_52_week,MW,2.5090685085160658e-06
SWITCH,CANO_to_NWPP,2045,base_52_week,MW,9.092491382034495e-08
SWITCH,TREW_to_TRE,2045,base_52_week,MW,3.506356733851135e-07
SWITCH,TREW_to_SPPS,2045,base_52_week,MW,4.691931280831341e-06
SWITCH,SPPC_to_SPPS,2045,base_52_week,MW,741.9016478238664
SWITCH,SPPC_to_MISS,2045,base_52_week,MW,3.114555511274375e-07
SWITCH,SPPC_to_SPPN,2045,base_52_week,MW,1.5598197933286428e-07
SWITCH,SPPC_to_MISW,2045,base_52_week,MW,0.0005097204289091
SWITCH,FRCC_to_SRSE,2045,base_52_week,MW,6.026584742357954e-08
SWITCH,TRE_to_SPPS,2045,base_52_week,MW,540.7342401636361
SWITCH,SRCA_to_PJMW,2045,base_52_week,MW,3.918614766007522e-07
SWITCH,SRCA_to_SRCE,2045,base_52_week,MW,3.012002025570837e-08
SWITCH,SRCA_to_PJMD,2045,base_52_week,MW,1625.6797686560722
SWITCH,SRCA_to_SRSE,2045,base_52_week,MW,5.67665665585082e-08
SWITCH,NYUP_to_NYCW,2045,base_52_week,MW,8.421920938417315e-09
SWITCH,PJMW_to_SRCE,2045,base_52_week,MW,576.7930028043274
SWITCH,PJMW_to_PJMD,2045,base_52_week,MW,4.6316927182488143e-08
SWITCH,BASN_to_RMRG,2045,base_52_week,MW,1899.8408176178623
SWITCH,BASN_to_CASO,2045,base_52_week,MW,8.154438546625897e-08
SWITCH,BASN_to_NWPP,2045,base_52_week,MW,1.1303745850455016e-07
SWITCH,BASN_to_SRSG,2045,base_52_week,MW,2.521287569834385e-06
SWITCH,SRCE_to_MISS,2045,base_52_week,MW,4.467983671929687e-08
SWITCH,SRCE_to_SRSE,2045,base_52_week,MW,2.451542968628928e-08
SWITCH,SPPS_to_MISS,2045,base_52_week,MW,961.7430168691571
SWITCH,SPPS_to_SRSG,2045,base_52_week,MW,2534.0409268705225
SWITCH,SPPS_to_SPPN,2045,base_52_week,MW,425.4978902012299
SWITCH,RMRG_to_NWPP,2045,base_52_week,MW,1345.3646967230152
SWITCH,RMRG_to_SRSG,2045,base_52_week,MW,245.6807173348334
SWITCH,MISS_to_SRSE,2045,base_52_week,MW,1.556983079353813e-06
SWITCH,CASO_to_NWPP,2045,base_52_week,MW,1.5630121197318658e-08
SWITCH,CASO_to_SRSG,2045,base_52_week,MW,739.0353491010464
SWITCH,SPPN_to_MISW,2045,base_52_week,MW,2.724341356952209e-06
SWITCH,NWPP_to_SPPN,2045,base_52_week,MW,227.51835029896347
SWITCH,NWPP_to_MISW,2045,base_52_week,MW,1.7724630652082851e-09
SWITCH,RMRG_to_SPPN,2045,base_52_week,MW,824.0385015683078
SWITCH,RMRG_to_SPPC,2045,base_52_week,MW,1513.9737346601542
SWITCH,SRSG_to_TRE,2045,base_52_week,MW,1425.4018454057605
SWITCH,PJMC_to_MISC,2050,base_52_week,MW,1.012920620269142e-06
SWITCH,PJMC_to_PJMW,2050,base_52_week,MW,5.658839654643089e-07
SWITCH,PJMC_to_MISW,2050,base_52_week,MW,1.110065568354912e-06
SWITCH,PJME_to_NYUP,2050,base_52_week,MW,5.140282155480236e-08
SWITCH,PJME_to_PJMW,2050,base_52_week,MW,251.08196715392842
SWITCH,PJME_to_NYCW,2050,base_52_week,MW,212.59337776011307
SWITCH,PJME_to_PJMD,2050,base_52_week,MW,6.889476935612038e-07
SWITCH,MISE_to_MISC,2050,base_52_week,MW,135.36979635232137
SWITCH,MISE_to_PJMW,2050,base_52_week,MW,5.7269985518360045e-06
SWITCH,MISE_to_MISW,2050,base_52_week,MW,2.6282123144483194e-09
SWITCH,ISNE_to_NYUP,2050,base_52_week,MW,1.8761602404993027e-07
SWITCH,ISNE_to_NYCW,2050,base_52_week,MW,8.366168913198635e-08
SWITCH,MISC_to_SPPC,2050,base_52_week,MW,395.60056984377843
SWITCH,MISC_to_PJMW,2050,base_52_week,MW,341.114759324244
SWITCH,MISC_to_SRCE,2050,base_52_week,MW,2.1677897166227922e-07
SWITCH,MISC_to_SPPS,2050,base_52_week,MW,147.74614168653716
SWITCH,MISC_to_MISS,2050,base_52_week,MW,5.416700332716573e-08
SWITCH,MISC_to_SPPN,2050,base_52_week,MW,92.1737326514849
SWITCH,MISC_to_MISW,2050,base_52_week,MW,1.964240254892502e-07
SWITCH,CANO_to_BASN,2050,base_52_week,MW,6.369943008621703e-07
SWITCH,CANO_to_CASO,2050,base_52_week,MW,2.356473487452604e-07
SWITCH,CANO_to_NWPP,2050,base_52_week,MW,145.76007748718484
SWITCH,TREW_to_TRE,2050,base_52_week,MW,3.275890776421875e-07
SWITCH,TREW_to_SPPS,2050,base_52_week,MW,5.633228283841163e-08
SWITCH,SPPC_to_SPPS,2050,base_52_week,MW,5.075435183243826e-08
SWITCH,SPPC_to_MISS,2050,base_52_week,MW,1.214889380207751e-07
SWITCH,SPPC_to_SPPN,2050,base_52_week,MW,4.468461156648118e-07
SWITCH,SPPC_to_MISW,2050,base_52_week,MW,0.00021860840921910003
SWITCH,FRCC_to_SRSE,2050,base_52_week,MW,3.019417817995418e-07
SWITCH,TRE_to_SPPS,2050,base_52_week,MW,6.277150532696396e-07
SWITCH,SRCA_to_PJMW,2050,base_52_week,MW,1.240418896486517e-07
SWITCH,SRCA_to_SRCE,2050,base_52_week,MW,4.3583165165728133e-07
SWITCH,SRCA_to_PJMD,2050,base_52_week,MW,3.395925887161866e-07
SWITCH,SRCA_to_SRSE,2050,base_52_week,MW,4.597495717462152e-09
SWITCH,NYUP_to_NYCW,2050,base_52_week,MW,7.357812137342989e-10
SWITCH,PJMW_to_SRCE,2050,base_52_week,MW,265.61751103835786
SWITCH,PJMW_to_PJMD,2050,base_52_week,MW,2.282395143993199e-07
SWITCH,BASN_to_RMRG,2050,base_52_week,MW,137.87463697508883
SWITCH,BASN_to_CASO,2050,base_52_week,MW,2.1451187421916984e-06
SWITCH,BASN_to_NWPP,2050,base_52_week,MW,5.78484105062671e-07
SWITCH,BASN_to_SRSG,2050,base_52_week,MW,7.296703188330866e-07
SWITCH,SRCE_to_MISS,2050,base_52_week,MW,1.3074532034806907e-07
SWITCH,SRCE_to_SRSE,2050,base_52_week,MW,2.1017558538005687e-07
SWITCH,SPPS_to_MISS,2050,base_52_week,MW,4.250287020113319e-07
SWITCH,SPPS_to_SRSG,2050,base_52_week,MW,881.2340964915165
SWITCH,SPPS_to_SPPN,2050,base_52_week,MW,2.49823642661795e-07
SWITCH,RMRG_to_NWPP,2050,base_52_week,MW,1.3966367987450212e-05
SWITCH,RMRG_to_SRSG,2050,base_52_week,MW,940.8781047044331
SWITCH,MISS_to_SRSE,2050,base_52_week,MW,387.3370954617458
SWITCH,CASO_to_NWPP,2050,base_52_week,MW,6.4681898948038e-08
SWITCH,CASO_to_SRSG,2050,base_52_week,MW,273.04236808193855
SWITCH,SPPN_to_MISW,2050,base_52_week,MW,2.7060195861849934e-08
SWITCH,NWPP_to_SPPN,2050,base_52_week,MW,643.0883034103517
SWITCH,NWPP_to_MISW,2050,base_52_week,MW,7.677601843170123e-08
SWITCH,RMRG_to_SPPN,2050,base_52_week,MW,615.5493739665026
SWITCH,RMRG_to_SPPC,2050,base_52_week,MW,150.38726017461522
SWITCH,SRSG_to_TRE,2050,base_52_week,MW,11.601275198108851
